question,answer,final_answer,dynamic
1,Academic Council Regular Meeting,"the academic council regular meeting is on august 11, 2021, january 12, 2022, and may 12, 2022.","The Academic Council Regular Meeting is on August 11, 2021, January 12, 2022, and May 12, 2022.",1
2,Administrative Council Regular Meeting,"the administrative council regular meeting is on august 13, 2021, january 21, 2022 and may 20, 2022.","The Administrative Council Regular Meeting is on August 13, 2021, January 21, 2022 and May 20, 2022.",1
3,Last day of service of the Faculty,may 24 is the last day of service of the faculty for 2021-2022.,May 24 is the last day of service of the faculty for 2021-2022.,1
4,Schedule of BU Charter Day,"june 21, 2022 is the schedule of bu charter day","June 21, 2022 is the schedule of BU Charter Day",1
5,Last day of Mid Year classes,july 23 is the last day of mid year classes for 2022.,July 23 is the last day of Mid Year Classes for 2022.,1
6,Mid year break,"mid year break is from july 24 to august 14, 2022.","Mid Year break is from July 24 to August 14, 2022.",1
7,Enrollment Period for First Semester,"general enrollment period for 1st semester 2022-2023 is on july 25-29, 2021 for both freshmen and regular students. august 1-3, 2021 for the tertiary level.","General Enrollment Period for 1st Semester 2022-2023 is on July 25-29, 2021 for both Freshmen and Regular students. August 1-3, 2021 for the Tertiary Level.",1
8,First day of service of Faculty,"first day of service of faculty for the 1st semester 2022-2023 is on july 2, 2022","First day of service of Faculty for the 1st Semester 2022-2023 is on July 2, 2022",1
9,First Semester,"the first semester will start from august 9, 2021 to december 15, 2021.","The First Semester will start from August 9, 2021 to December 15, 2021.",1
10,Resume of classes after Semestral Break,"resume of classes after semestral break will be january 17, 2022.","Resume of classes after Semestral Break will be January 17, 2022.",1
11,Semestral Break,"the semestral break will start from december 16, 2021 to january 16, 2022.","The Semestral Break will start from December 16, 2021 to January 16, 2022.",1
12,Last day of Enrollment,"the last day of enrollment with fine is on august 9, 2021.","The Last day of Enrollment with fine is on August 9, 2021.",1
13,BU Founding Anniversary,"the bu founding anniversary is on september 22, 2021.","The BU Founding Anniversary is on September 22, 2021.",1
14,BUGS Day,"the bugs day is on september 25, 2021.","The BUGS Day is on September 25, 2021.",1
15,When is the start of classes for First Semester?,"the start of classes for first semester is on august 2, 2021 for elementary, junior and senior high school and august 9 for tertiary level.","The start of classes for First Semester is on August 2, 2021 for Elementary, Junior and Senior High School and August 9 for tertiary level.",1
16,Schedule of Midterm examination for First Semester,the schedule of midterm examination for the first semester is on october 7-9 for graduating students and non-graduating students.,The schedule of Midterm examination for the First Semester is on October 7-9 for Graduating Students and Non-Graduating Students.,1
17,Schedule of Midterm examination for Second Semester,the schedule of midterm examination for the second semester is on march 3-5 for graduating students and march 17-19 for non-graduating students.,The schedule of Midterm examination for the Second Semester is on March 3-5 for Graduating Students and March 17-19 for Non-Graduating Students.,1
18,Schedule of Final examination for First Semester,"the schedule of final examination first semester is on december 13-15,2022 for graduating students and non-graduating students.","The schedule of Final examination First Semester is on December 13-15,2022 for Graduating Students and Non-Graduating Students.",1
19,Deadline of submission of grades for First Semester,"december 30, 2021 is the deadline of submission of grades for first semester both for graduating students and non-graduating students.","December 30, 2021 is the deadline of submission of grades for First Semester both for Graduating Students and Non-Graduating Students.",1
20,Enrollment Period for 2nd Semester,"general enrollment period for 2nd semester 2021-2022 is on january 3-16, 2022 for the tertiary level.","General Enrollment Period for 2nd Semester 2021-2022 is on January 3-16, 2022 for the Tertiary Level.",1
21,When is the start of classes for Second Semester?,"the start of classes for second semester is on january 17, 2022 for tertiary level.","The start of classes for Second Semester is on January 17, 2022 for tertiary level.",1
22,VP for Administration and Finance,atty. joseph l. bartolata is the vp for administration and finance.,Atty. Joseph L. Bartolata is the VP for Administration and Finance.,1
23,Atty. Joseph L. Bartolata,he is the vice president for administration and finance.,He is the Vice President for Administration and Finance.,1
24,VP for Planning and Development,prof. jerry s. bigornia is the vp for planning and development.,Prof. Jerry S. Bigornia is the VP for Planning and Development.,1
25,Prof. Jerry S. Bigornia,he is the vp for planning and development.,He is the VP for Planning and Development.,1
26,VP for Academic Affairs,dr. amelia a. dorosan is the vp for academic affairs.,Dr. Amelia A. Dorosan is the VP for Academic Affairs.,1
27,Dr. Amelia A. Dorosan,she is the vp for academic affairs.,She is the VP for Academic Affairs.,1
28,VP for Research Development and Extension,dr. luis amano is the vp for research development and extension.,Dr. Luis Amano is the VP for Research Development and Extension.,1
29,Dr. Luis Amano,he is the vp for research development and extension.,He is the VP for Research Development and Extension.,1
30,University & Board Secretary,atty. norly p. reyes is the acting university & board secretary.,Atty. Norly P. Reyes is the Acting University & Board Secretary.,1
31,Atty. Norly P. Reyes,he is the acting university & board secretary and chief of administrative services division.,He is the Acting University & Board Secretary and Chief of Administrative Services Division.,1
32,Chief of Administrative Services Division,atty. norly p. reyes is the chief of administrative services division.,Atty. Norly P. Reyes is the Chief of Administrative Services Division.,1
33,BUCAF Associate Dean,dr. roscefe b. dy is the bucaf associate dean,Dr. Roscefe B. Dy is the BUCAF Associate Dean,1
34,Dr. Roscefe B. Dy,she is the bucaf associate dean.,She is the BUCAF Associate Dean.,1
35,College of Social Science and Philosophy Associate Dean,prof. sipronio b. belardo is the college of social science and philosophy associate dean.,Prof. Sipronio B. Belardo is the College of Social Science and Philosophy Associate Dean.,1
36,Prof. Sipronio B. Belardo,he is the college of social science and philosophy associate dean.,He is the College of Social Science and Philosophy Associate Dean.,1
37,College of Business Economics and Management Associate Dean,ms. shiela b. desuyo is the college of business economics and management associate dean.,Ms. Shiela B. Desuyo is the College of Business Economics and Management Associate Dean.,1
38,Ms. Shiela B. Desuyo,she is the college of business economics and management associate dean.,She is the College of Business Economics and Management Associate Dean.,1
39,College of Education Associate Dean,dr. ma. teresa m. abainza is the college of education associate dean.,Dr. Ma. Teresa M. Abainza is the College of Education Associate Dean.,1
40,Dr. Ma. Teresa M. Abainza,she is the college of education associate dean.,She is the College of Education Associate Dean.,1
41,College of Engineering Associate Dean,engr. rolando m. dacillo is the college of engineering associate dean.,Engr. Rolando M. Dacillo is the College of Engineering Associate Dean.,1
42,Engr. Rolando M. Dacillo is the College of Engineering Associate Dean.,he is the college of engineering associate dean.,He is the College of Engineering Associate Dean.,1
43,College of Industrial Technology Associate Dean,ms. arlene a. balleras is the college of industrial technology associate dean.,Ms. Arlene A. Balleras is the College of Industrial Technology Associate Dean.,1
44,Ms. Arlene A. Balleras,she is the college of industrial technology associate dean.,She is the College of Industrial Technology Associate Dean.,1
45,College of Arts and Letters Associate Dean,prof. liliosa c. malasa is the college of arts and letters associate dean.,Prof. Liliosa C. Malasa is the College of Arts and Letters Associate Dean.,1
46,Prof. Liliosa C. Malasa,she is the college of arts and letters associate dean.,She is the College of Arts and Letters Associate Dean.,1
47,College of Science Associate Dean,prof. jason a. lucilo is the college of science associate dean.,Prof. Jason A. Lucilo is the College of Science Associate Dean.,1
48,Prof. Jason A. Lucilo,he is the college of science associate dean.,He is the College of Science Associate Dean.,1
49,College of Medicine Associate Dean,dr. luis domingo b. mendoza is the college of medicine associate dean.,Dr. Luis Domingo B. Mendoza is the College of Medicine Associate Dean.,1
50,Dr. Luis Domingo B. Mendoza,he is the college of medicine associate dean.,He is the College of Medicine Associate Dean.,1
51,IPESR Associate Director,prof. randy t. austriais the institute of physical education sports and recreation associate director.,Prof. Randy T. Austriais the Institute of Physical Education Sports and Recreation Associate Director.,1
52,Prof. Randy T. Austriais,he is the ipesr associate director.,He is the IPESR Associate Director.,1
53,Institute of Architecture Associate Director,ar. hazel ann l. meneses is the institute of architecture associate director.,Ar. Hazel Ann L. Meneses is the Institute of Architecture Associate Director.,1
54,Ar. Hazel Ann L. Meneses,she is the institute of architecture associate director.,She is the Institute of Architecture Associate Director.,1
