,tag,patterns,responses
0,greeting,"Hi there, How are you, Is anyone there?, Hey, Hola, Hello, Good day","['Hello, thanks for asking', 'Good to see you!', 'Hi there, how can I help?']"
1,goodbye,"Bye, See you later, Goodbye, Nice chatting to you, bye, Till next time","['See you!', 'Have a nice day', 'Bye! Come back again soon.']"
2,thanks,"Thanks, Thank you, That's helpful, Awesome, thanks, Thanks for helping me","['Happy to help!', 'Any time!', 'My pleasure']"
3,noanswer,,"[""Sorry, can't understand you"", 'Please give me more info', 'Not sure I understand']"
4,options,"How you could help me?, What you can do?, What help you provide?, How you can be helpful?, What support is offered","[""Hi! I'm BUbot. I can answer your queries about Bicol University :)""]"
5,vision,What is the Vision of Bicol University?,['A World-Class University Producing Leaders and Change Agents for Social Transformation and Development']
6,mission,What is the Mission of Bicol Univerity?,"['The Bicol University shall give professional and technical training, and provide advanced and specialized instruction in literature, philosophy, the sciences and arts, besides providing for the promotion of scientific and technological researches']"
7,quality_policy,What is the Quality Policy of Bicol University?,"['Bicol University commits to continually strive for excellence in Instruction, Research and Extension by meeting the highest level of clientele satisfaction and adhering to quality standards and applicable statutory and regulatory requirements']"
8,goals_of_the_university,What are the goals of Bicol University,['TOO LONG']
9,university_president,Who is the President of Bicol University?,['Arnulfo M. Mascariñas']
10,dean_of_college_of_science,Who is the dean of college of science?,['Prof. Jocelyn E. Serrano']
11,contact_details_of_dean_of_college_of_science,How can I contact the dean of the college of science?,['Telephone No.: (052) 481-2159 Email: jeserrano@bicol-u.edu.ph']
12,dean_of_college_of_arts_and_letters,Who is the dean of college of arts and letters?,['Dr. Leticia M. Lopez']
13,contact_details_of_dean_of_college_of_arts_and_letters,How can I contact the dean of the college of arts and letters?,['Telephone No.: (052) 481-5280']
14,dean_of_college_of_nursing,Who is the dean of college of nursing?,['Dr. Jean Annette S. Ibo']
15,contact_details_of_dean_of_college_of_nursing,How can I contact the dean of the college of nursing?,['Telephone No.:(052) 480-0610 Email: bicoluniversity.collegeofnursing@yahoo.com']
16,dean_of_institute_of_physical_education_sports_and_recreation,Who is the director of Institute of Physical Education Sports and Recreation?,['Prof. Carina L. Sales']
17,contact_details_of_dean_of_institute_of_physical_education_sports_and_recreation,How can I contact the dean of the Institute of Physical Education Sports and Recreation?,['Telephone No. (052) 483-0758']
18,dean_of_jesse_m_robredo_institute_of_governance_and_development,Who is the director of Jesse M. Robredo Institute Of Governance And Development?,['Dr. Noemi L. Ibo']
19,contact_details_of_dean_of_jesse_m_robredo_institute_of_governance_and_development,How can I contact the dean of the Jesse M. Robredo Institute Of Governance And Development?,['No record in BU site as of the moment']
20,dean_of_college_of_education,Who is the dean of College of Education?,['Dr. Lorna M. Miña']
21,contact_details_of_dean_of_college_of_education,How can I contact the dean of the College of Education?,['Telephone No.: (052) 483-0487 Email: bicolmentors_08@yahoo.com or lornsmm@yahoo.com']
22,dean_of_graduate_school,Who is the dean of Graduate School?,['Dr. Herbert B. Rosana']
23,contact_details_of_dean_of_graduate_school,How can I contact the dean of the Graduate School?,['Telephone No.: (052) 481-1454 Email: bugs-dean@bicol-u.edu.ph']
24,dean_of_open_university,Who is the dean of Open University?,['Dr. Ramesis M. Lorino']
25,contact_details_of_dean_of_open_university,How can I contact the dean of the Open University?,['No record in BU site as of the moment.']
26,dean_of_college_of_medicine,Who is the dean of College of Medicine?,['Dr. Ruben Caragay']
27,contact_details_of_dean_of_college_of_medicine,How can I contact the dean of the College of Medicine?,['Telephone No. (052) 742-0076 Email: rncaragay@bicol-u.edu.ph or bucm-dean@bicol-u.edu.ph']
28,dean_of_college_of_law,Who is the dean of College of Law?,['Atty. Hardy B. Aquende']
29,contact_details_of_dean_of_college_of_law,How can I contact the dean of the College of Law?,['No record in BU site as of the moment']
30,dean_of_college_of_business_economics_and_management,Who is the dean of College Of Business Economics and Management?,['Dr. Eddie S. See ']
31,contact_details_of_dean_of_college_of_business_economics_and_management,How can I contact the dean of the College Of Business Economics and Management?,['Email: bucbem@bicol-u.edu.ph or ess4560@bicol-u.edu.ph']
32,dean_of_college_of_social_science_and_philosophy,Who is the dean of College of Social Science and Philosophy?,['Atty. Alex B. Nepomuceno']
33,contact_details_of_dean_of_college_of_social_science_and_philosophy,How can I contact the dean of the College of Social Science and Philosophy?,['Email: abnepomuceno@bicol-u.edu.ph or bucssp-dean@bicol-u.edu.ph']
34,dean_of_institute_of_architecture,Who is the director of Institute of Architecture?,['Ar. Leo A. Del Rosario']
35,contact_details_of_dean_of_institute_of_architecture,How can I contact the director of the Institute of Architecture?,['Telephone No.: (052) 742-6728   Email: ronacionaljr@bicol-u.edu.ph or buia@bicol-u.edu.ph']
36,dean_of_college_of_engineering,Who is the dean of College of Engineering?,['Engr. Amelia A. Gonzales']
37,contact_details_of_dean_of_college_of_engineering,How can I contact the dean of the College of Engineering?,['Telephone No.: (052) 742-4091    Email: bucengdean@gmail.com or abbg0116@yahoo.com']
38,dean_of_college_of_industrial_technology,Who is the dean of College of Industrial Technology?,['Dr. Jonathan Arroco']
39,contact_details_of_dean_of_college_of_industrial_technology,How can I contact the dean of the College of Industrial Technology?,['Telephone No.: (052) 480-4595   Email: jcarroco@bicol-u.edu.ph or bucit-dean@bicol-u.edu.ph']
40,dean_of_college_of_agriculture_and_forestry,Who is the dean of the College of Agriculture and Forestry?,['Prof. Domingo Ll. Nace']
41,contact_details_of_dean_of_college_of_agriculture_and_forestry,How can I contact the dean of the College of Agriculture and Forestry?,['Telephone No.: (052) 484-6336   Email: bucaf100@bicol-u.edu.ph']
42,dean_of_tabaco_campus,Who is the dean of the Bicol University Tabaco Campus?,['Dr. Maria Giselle N. Mortega']
43,contact_details_of_dean_of_tabaco_campus,How can I contact the dean of the Bicol University Tabaco Campus?,['Telephone No. (052) 487-5247 or (052) 257-7090 or (052) 830-0012  Email: butc-dean@bicol-u.edu.ph']
44,dean_of_polangui_campus,Who is the dean of the Bicol University Polangui Campus?,['Prof. Mary Joy B. Catangui ']
45,contact_details_of_dean_of_Polangui_campus,How can I contact the dean of the Bicol University Polangui Campus?,['Telephone No.: (052) 437-2852 or (052)212-5498 or (052) 835-0560  Email: bupc-dean@bicol-u.edu.ph']
46,dean_of_gubat_campus,Who is the director of the Bicol University Gubat Campus?,['Dr. Rosemarie R. Jadie']
47,contact_details_of_dean_of_gubat_campus,How can I contact the director of the Bicol University Gubat Campus?,['Telephone No.: (056)311-1145 Email: rrjadie@bicol-u.edu.ph or bugc-dean@bicol-u.edu.ph']
48,registrar_of_graduate_school,Who is the registrar of Graduate School?,['Ms. Veronica O. Gomez']
49,contact_details_of_registrar_of_graduate_school,How can I contact the registrar of Graduate School?,['Telephone No.: (052) 481-7881    Email: vogomez@bicol-u.edu.ph or bugsreg@bicol-u.edu.ph']
50,registrar_of_the_college_of_agriculture_and_forestry,Who is the registrar of College of Agriculture and Forestry?,['Ms. Ada O. Camba']
51,contact_details_of_registrar_of_the_college_of_agriculture_and_forestry,How can I contact the registrar of College of College of Agriculture and Forestry?,['Email: ancamba@bicol-u.edu.ph or bucafreg@bicol-u.edu.ph']
52,registrar_of_the_college_of_social_science_and_philosophy,Who is the registrar of College of Social Science and Philosophy?,['Ms. Catherine D. Lagata']
53,contact_details_of_registrar_of_the_college_of_social_science_and_philosophy,How can I contact the registrar of College of Social Science and Philosophy?,['Email: cdlagata@bicol-u.edu.ph or bucsspreg@bicol-u.edu.ph']
54,registrar_of_the_college_of_business_economics_and_management,Who is the registrar of College of Business Economics and Management?,['Mr. Salvador M. Abiño']
55,contact_details_of_registrar_of_the_college_of_business_economics_and_management,How can I contact the registrar of College of Business Economics and Management?,['Email: smabino@bicol-u.edu.ph or bucbemreg@bicol-u.edu.ph']
56,registrar_of_the_college_of_education,Who is the registrar of College of Education?,['Ms. Jane B. Siapno']
57,contact_details_of_registrar_of_the_college_of_education,How can I contact the registrar of College of Education?,['Telephone No.: (052) 481-5975    Email: jbsiapno@bicol-u.edu.ph or buce.registrar@bicol-u.edu.ph']
58,registrar_of_the_college_of_engineering,Who is the registrar of College of Engineering?,['Ms. Ruby L. Rivero']
59,contact_details_of_registrar_of_the_college_of_engineering,How can I contact the registrar of College of Engineering?,['Telephone No.: (052) 742-4091    Email: rlrivero@bicol-u.edu.ph or bucengreg@bicol-u.edu.ph']
60,registrar_of_the_college_of_nursing,Who is the registrar of College of collegeof Nursing?,['Ms. Teresita P. Baloloy']
61,contact_details_of_registrar_of_the_college_of_nursing,How can I contact the registrar of College of Nursing?,['Telephone No.: (052) 480-2760    Email: bucnreg@bicol-u.edu.ph']
62,registrar_of_the_college_of_industrial_technology,Who is the registrar of College of Industrial Technology?,['Ms. Ana B. Del Ayre']
63,contact_details_of_registrar_of_the_college_of_industrial_technology,How can I contact the registrar of College of Industrial Technology?,['Telephone No.: (052) 431-1053    Email: abdelayre@bicol-u.edu.ph or bucitreg@bicol-u.edu.ph']
64,registrar_of_the_college_of_arts_and_letters,Who is the registrar of College of Arts and Letters?,['Mr. Antonio R. Lleva']
65,contact_details_of_registrar_of_the_college_of_arts_and_letters,How can I contact the registrar of College of Arts and Letters?,['Telephone No.: (052) 481-6192    Email: arlleva@bicol-u.edu.ph or bucalreg@bicol-u.edu.ph']
66,registrar_of_the_college_of_science,Who is the registrar of College of Science?,['Ms. Sharlene A. Mendizabal']
67,contact_details_of_registrar_of_the_college_of_science,How can I contact the registrar of College of Science?,['Telephone No.: 481-1455    Email: bucsreg@bicol-u.edu.ph']
68,registrar_of_the_college_of_medicine,Who is the registrar of College of Medicine?,['Ms. Sheila Marie Magalona']
69,contact_details_of_registrar_of_the_college_of_medicine,How can I contact the registrar of College of Medicine?,['Telephone No.: (052) 480-0700    Email: smmmagalona@bicol-u.edu.ph or bucmreg@bicol-u.edu.ph']
70,registrar_of_the_college_of_law,Who is the registrar of College of Law?,['No record BU site as of the moment.']
71,contact_details_of_registrar_of_the_college_of_law,How can I contact the registrar of College of Law?,['No record BU site as of the moment.']
72,registrar_of_the_institute_of_physical_education_sports_and_recreation,Who is the registrar of College of Institute of Physical Education Sports and Recreation?,['No record BU site as of the moment.']
73,contact_details_of_registrar_of_the_institute_of_physical_education_sports_and_recreation,How can I contact the registrar of College of Institute of Physical Education Sports and Recreation?,['No record BU site as of the moment.']
74,registrar_of_the_institute_of_architecture,Who is the registrar of Institute of Architecture?,['Ms. Ruby L. Rivero']
75,contact_details_of_registrar_of_the_institute_of_architecture,How can I contact the registrar of Institute of Architecture?,['Telephone No.: (052) 742-4091    Email: rlrivero@bicol-u.edu.ph']
76,registrar_of_the_polangui_campus,Who is the registrar of Polangui Campus?,['Ms. Lily Lolo']
77,contact_details_of_registrar_of_the_polangui_campus,How can I contact the registrar of Polangui Campus?,['Email: lrlolo@bicol-u.edu.ph or bupcreg@bicol-u.edu.ph']
78,registrar_of_the_tabaco_campus,Who is the registrar of Tabaco Campus?,['Ms. Wilhelmina B. Henson']
79,contact_details_of_registrar_of_Tabaco_Campus,How can I contact the registrar of Tabaco Campus?,['Email: wbhenson@bicol-u.edu.ph or butcreg@bicol-u.edu.ph']
80,registrar_of_the_gubat_campus,Who is the registrar of Gubat Campus?,['Ms. Maria Rechel M .Marcaida']
81,contact_details_of_registrar_of_Gubat Campus,How can I contact the registrar of Gubat Campus,['No record in BU site as of the moment']
82,admission_to_undergraduate_programs,Can I enroll to undegraduate programs in BU?,"['Admission to the undergraduate programs leading to an award of a diploma or baccalaureate degree is selective. To qualify for admission, incoming students need to pass the BUCET']"
83,reason_for_selective_admission,Why do Bicol University follow selective admission for undegraduate programs?,['To promote quality and excellence in tertiary education']
84,bucet,What is BUCET,"['It is a three-hour examination consisting of sub-tests in Language proficiency in English, Mathematics, Science and Reading Comprehension. ']"
85,how_to_quality_for_admission,How can I qualify for freshmen admission?,['Admission is based on the applicant’s Bicol University College Entrance Test (BUCET) Composite Rating consisting of the BUCET score and his/her general weighted average (GWA) in the grade 9 to 11']
86,general_requirements_for_bucet,High school seniors expecting to graduate at the end of the school year; OR Senior high school graduates who have not taken and/are not taking any college subject/s; AND Holders of Philippines Educational Placement Test/ Alternative Learning System (PEPT/ALS) certificates who are eligible for admission to college.,['']
87,bucet_cutoff_rating,What is the cut-off rating for BUCET?,['The BUCET cut-off rating for the Licensure and Non-licensure courses shall be recommended by the Admissions Office.']
88,transfer_students,Can I transfer to Bicol University?,"['Admission of transferees is contingent upon the availability of slots in the College the applicants are seeking transfer to, upon which the Dean of the College shall declare the slot open or available.']"
89,transfer_instructions,How can I transfer to Bicol University?,"[""Transferees' application for transfer must reach the Office of Admissions in due time prior to the registration period together with the letter of intent for transfer.""]"
90,transfer_requirements,What are the requirements for admission of transferees?,"[""Certification from the Dean/Director of availability of place/slot in the College/Unit; Certification of grades duly signed by the Registrar of the original school bearing the school's seal; or Official transcript of records (OTR) from the last school attended; and Certificate of honorable dismissal""]"
91,transfer_fee,Is there a fee need to be settled to process my trasnfer requirements to Bicol University?,['Processing of the transferees’ documents shall commence upon payment of processing fee inclusive of aptitude testing which some colleges require.']
92,interview_for_transfer_applicants,Do I need to undergo interviews as transfer applicant?,['Applicants for transfer may still go through an interview in the college/unit they intend to transfer to or be subjected to other college/program requirements.']
93,eligibility_for_admission of transferees,How can I be eligible for transfer admission to Bicol University?,"['Eligibility for admission of transferees shall be determined by the result of multiple assessment procedures, including Course-program aptitude test, if required by the College/Unit/Department; Grade point average (GPA) of 2.0 or 89%; No failing grade in any of the courses taken; Applicant shall not have finished more than twenty-five percent (25%) of the units required for the course; Interview; and/or Other assessment procedure(s) required by the College/Unit/Department. ']"
94,transfer_credits,Will the university recognize my units earned from my previous college if I transfer?,['Only course units earned from colleges/universities with the same program accreditation level as Bicol University or higher or those who are duly recognized by CHED will be credited.']
95,transfer_credit_limits,What is the limit of transfer credits in Bicol University?,"['Transfer credits, however, shall not exceed twenty-five percent (25%) of the total number of units required for the course.']"
96,admission_of_graduates_of_tvl_courses,Can I be admitted to Bicol University if I am a graduate of Technical-Vocational course?,['Admission of graduates of terminal technical-vocational courses shall be assessed on a case-to- case basis. The documentary requirements and conditions set for transfer students shall apply to them.']
97,shifters,How can I shift from one course program to another?,['Students are allowed to shift subject for availability of place/slot in the college/unit they are seeking transfer to. Students shall vie for the places/slots along with transferees from outside the University']
98,requirements_for_shifting,What are the requirements in shifting to another course?,"['Letter of intent to transfer specifying, among others, the reason for request for transfer; Certification from the Dean/Director of the availability of slot; and Certification of grades duly signed by the College/Unit Registrar.']"
99,processing_fee_for_shifters,Is there a fee for shifting a course program?,['Conditions required of transferees from outside the University shall apply to the shifters including the payment of processing fee of Php 100.00.']
100,returning_students,How can I be readmitted to Bicol University after I stopped schooling?,['Old students who stopped schooling due to ill health or any other valid reason can seek re- admission by presenting medical or other documents to support his/her reason/s for dropping out of school.']
101,reason_for_declining_the admission_of_returning_student,Can I not be readmitted to Bicol University after I stopped schooling?,"[""The college/ unit reserves the right to refuse enrollment/re-admission of old/ returning student on account of proofs of his/her violation of the school's rules and regulations and/or academic deficiency.""]"
102,requirements_for_students_returning_from_leave_ob_abscence,How to be re-admitted upon returning from leave of absence?,['A student returning from leave of absence shall present supporting papers or documents']
103,requirements_for_returning_old_students,What are the requirements for returning old students?,['An old student may be re-admitted upon presentation of his/her clearance duly signed by school officials concerned.']
104,general_requirements_for_undergraduate_foreign_students,What are the requirements for admission of undergraduate foreign students?,['Original Transcript of Records (OTR); Personal Data; Affidavit of Support; Alien Certificate of Registration (ACR); Results of Test on English as a Foreign Language (TOEFL); Approved study permit from CHED; and an application fee of $50.00']
